"orig","obs 1","obs 2","obs 3","obs 4","obs 5","obs 6","obs 7","obs 8","obs 9","obs 10"
1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2
3,3,3,3,3,3,3,3,3,3,3
4,4,5,4,4,4,4,4,4,4,4
5,5,4,5,5,5,5,5,5,5,5
6,6,6,6,6,6,6,6,6,6,6
7,7,9,7,7,7,7,7,7,7,7
8,9,11,9,9,9,8,8,8,8,10
9,8,12,11,8,8,9,9,9,9,9
10,11,10,14,11,10,12,10,11,10,8
11,12,8,8,12,11,13,11,10,11,14
12,10,16,12,14,14,14,12,13,15,15
13,14,7,13,16,15,15,13,12,13,11
14,15,21,17,13,13,10,15,16,12,13
15,16,15,10,15,12,11,14,15,16,16
16,17,19,15,10,16,16,16,17,14,17
17,18,17,19,17,18,17,17,14,17,12
18,19,20,18,19,20,18,18,18,18,18
19,20,18,16,18,19,19,19,20,20,19
20,13,13,21,20,17,20,20,19,19,20
